"PCC_Threshold","Resolution_Limit","community","Patient_Count","Bacterial","None","Viral"
0.6,0.1,1,361,25,229,110
0.6,0.2,1,361,25,229,110
0.6,0.3,1,361,25,229,110
0.6,0.4,1,361,25,229,110
0.6,0.5,1,361,25,229,110
0.6,0.6,1,361,25,229,110
0.6,0.7,1,361,25,229,110
0.6,0.8,1,361,25,229,110
0.6,0.9,1,361,25,229,110
0.6,1,1,361,25,229,110
0.7,0.1,1,361,25,229,110
0.7,0.2,1,361,25,229,110
0.7,0.3,1,361,25,229,110
0.7,0.4,1,361,25,229,110
0.7,0.5,1,361,25,229,110
0.7,0.6,1,361,25,229,110
0.7,0.7,1,361,25,229,110
0.7,0.8,1,361,25,229,110
0.7,0.9,1,361,25,229,110
0.7,1,1,361,25,229,110
0.8,0.1,1,361,25,229,110
0.8,0.2,1,361,25,229,110
0.8,0.3,1,361,25,229,110
0.8,0.4,1,361,25,229,110
0.8,0.5,1,361,25,229,110
0.8,0.6,1,361,25,229,110
0.8,0.7,1,361,25,229,110
0.8,0.8,1,361,25,229,110
0.8,0.9,1,361,25,229,110
0.8,1,1,361,25,229,110
0.85,0.1,1,361,25,229,110
0.85,0.2,1,361,25,229,110
0.85,0.3,1,361,25,229,110
0.85,0.4,1,361,25,229,110
0.85,0.5,1,361,25,229,110
0.85,0.6,1,361,25,229,110
0.85,0.7,1,361,25,229,110
0.85,0.8,1,361,25,229,110
0.85,0.9,1,361,25,229,110
0.85,1,1,355,24,226,108
0.9,0.1,1,358,24,228,108
0.9,0.2,1,358,24,228,108
0.9,0.3,1,358,24,228,108
0.9,0.4,1,358,24,228,108
0.9,0.5,1,358,24,228,108
0.9,0.6,1,358,24,228,108
0.9,0.7,1,358,24,228,108
0.9,0.8,1,358,24,228,108
0.9,0.9,1,358,24,228,108
0.9,1,1,249,11,151,89
0.9,1,2,109,13,77,19
0.9,1.1,1,21,4,13,4
0.91,0.1,1,357,24,227,108
0.91,0.2,1,357,24,227,108
0.91,0.3,1,357,24,227,108
0.91,0.4,1,357,24,227,108
0.91,0.5,1,357,24,227,108
0.91,0.6,1,357,24,227,108
0.91,0.7,1,357,24,227,108
0.91,0.8,1,357,24,227,108
0.91,0.9,1,357,24,227,108
0.91,1,1,177,5,114,58
0.91,1,2,176,18,110,50
0.92,0.1,1,353,24,226,105
0.92,0.2,1,353,24,226,105
0.92,0.3,1,353,24,226,105
0.92,0.4,1,353,24,226,105
0.92,0.5,1,353,24,226,105
0.92,0.6,1,353,24,226,105
0.92,0.7,1,353,24,226,105
0.92,0.8,1,353,24,226,105
0.92,0.9,1,353,24,226,105
0.92,1,1,177,4,108,67
0.92,1,2,176,20,118,38
0.92,1.1,1,26,7,16,3
0.92,1.1,2,24,0,14,10
0.93,0.1,1,352,23,226,105
0.93,0.2,1,352,23,226,105
0.93,0.3,1,352,23,226,105
0.93,0.4,1,352,23,226,105
0.93,0.5,1,352,23,226,105
0.93,0.6,1,352,23,226,105
0.93,0.7,1,352,23,226,105
0.93,0.8,1,352,23,226,105
0.93,0.9,1,352,23,226,105
0.93,1,1,186,4,113,69
0.93,1,2,166,19,113,36
0.93,1.1,1,77,2,53,22
0.93,1.1,2,75,11,51,13
0.93,1.2,1,48,9,31,8
0.93,1.2,2,43,1,30,12
0.93,1.3,1,37,9,23,5
0.93,1.3,2,20,0,13,7
0.93,1.4,1,29,8,17,4
