"PCC","Resolution","Community","Size","None","Viral","Bacterial"
0.91,0.1,1,174,110,48,18
0.91,0.1,2,179,114,60,5
0.91,0.1,3,4,3,0,1
0.91,0.2,1,174,110,48,18
0.91,0.2,2,179,114,60,5
0.91,0.2,3,4,3,0,1
0.91,0.3,1,174,110,48,18
0.91,0.3,2,179,114,60,5
0.91,0.3,3,4,3,0,1
0.91,0.4,1,174,110,48,18
0.91,0.4,2,179,114,60,5
0.91,0.4,3,4,3,0,1
0.91,0.5,1,174,110,48,18
0.91,0.5,2,179,114,60,5
0.91,0.5,3,4,3,0,1
0.91,0.6,1,174,110,48,18
0.91,0.6,2,179,114,60,5
0.91,0.6,3,4,3,0,1
0.91,0.7,1,174,110,48,18
0.91,0.7,2,179,114,60,5
0.91,0.7,3,4,3,0,1
0.91,0.8,1,174,110,48,18
0.91,0.8,2,179,114,60,5
0.91,0.8,3,4,3,0,1
0.91,0.9,1,174,110,48,18
0.91,0.9,2,179,114,60,5
0.91,0.9,3,4,3,0,1
0.91,1,1,174,110,48,18
0.91,1,2,179,114,60,5
0.91,1,3,4,3,0,1
0.92,0.1,1,173,113,43,18
0.92,0.1,2,180,113,62,6
0.92,0.2,1,173,113,43,18
0.92,0.2,2,180,113,62,6
0.92,0.3,1,173,113,43,18
0.92,0.3,2,180,113,62,6
0.92,0.4,1,173,113,43,18
0.92,0.4,2,180,113,62,6
0.92,0.5,1,173,113,43,18
0.92,0.5,2,180,113,62,6
0.92,0.6,1,173,113,43,18
0.92,0.6,2,180,113,62,6
0.92,0.7,1,173,113,43,18
0.92,0.7,2,180,113,62,6
0.92,0.8,1,173,113,43,18
0.92,0.8,2,180,113,62,6
0.92,0.9,1,173,113,43,18
0.92,0.9,2,180,113,62,6
0.92,1,1,173,113,43,18
0.92,1,2,180,113,62,6
0.93,0.1,1,167,113,36,20
0.93,0.1,2,185,113,69,3
0.93,0.2,1,167,113,36,20
0.93,0.2,2,185,113,69,3
0.93,0.3,1,167,113,36,20
0.93,0.3,2,185,113,69,3
0.93,0.4,1,167,113,36,20
0.93,0.4,2,185,113,69,3
0.93,0.5,1,167,113,36,20
0.93,0.5,2,185,113,69,3
0.93,0.6,1,167,113,36,20
0.93,0.6,2,185,113,69,3
0.93,0.7,1,167,113,36,20
0.93,0.7,2,185,113,69,3
0.93,0.8,1,167,113,36,20
0.93,0.8,2,185,113,69,3
0.93,0.9,1,167,113,36,20
0.93,0.9,2,185,113,69,3
0.93,1,1,167,113,36,20
0.93,1,2,185,113,69,3
0.94,0.1,1,139,101,22,18
0.94,0.1,2,165,108,53,4
0.94,0.1,3,45,16,29,0
0.94,0.2,1,139,101,22,18
0.94,0.2,2,165,108,53,4
0.94,0.2,3,45,16,29,0
0.94,0.3,1,139,101,22,18
0.94,0.3,2,165,108,53,4
0.94,0.3,3,45,16,29,0
0.94,0.4,1,139,101,22,18
0.94,0.4,2,165,108,53,4
0.94,0.4,3,45,16,29,0
0.94,0.5,1,139,101,22,18
0.94,0.5,2,165,108,53,4
0.94,0.5,3,45,16,29,0
0.94,0.6,1,139,101,22,18
0.94,0.6,2,165,108,53,4
0.94,0.6,3,45,16,29,0
0.94,0.7,1,139,101,22,18
0.94,0.7,2,165,108,53,4
0.94,0.7,3,45,16,29,0
0.94,0.8,1,139,101,22,18
0.94,0.8,2,165,108,53,4
0.94,0.8,3,45,16,29,0
0.94,0.9,1,139,101,22,18
0.94,0.9,2,165,108,53,4
0.94,0.9,3,45,16,29,0
0.94,1,1,139,101,22,18
0.94,1,2,165,108,53,4
0.94,1,3,45,16,29,0
0.95,0.1,1,122,94,15,15
0.95,0.1,2,132,60,72,0
0.95,0.1,3,78,65,10,3
0.95,0.2,1,119,93,14,14
0.95,0.2,2,132,59,73,0
0.95,0.2,3,81,67,10,4
0.95,0.3,1,126,98,16,14
0.95,0.3,2,129,58,71,0
0.95,0.3,3,77,63,10,4
0.95,0.4,1,132,102,18,14
0.95,0.4,2,113,45,68,0
0.95,0.4,3,87,72,11,4
0.95,0.5,1,139,108,19,14
0.95,0.5,2,109,44,65,0
0.95,0.5,3,84,67,13,4
0.95,0.6,1,139,108,19,14
0.95,0.6,2,109,44,65,0
0.95,0.6,3,84,67,13,4
0.95,0.7,1,121,93,16,14
0.95,0.7,2,134,61,73,0
0.95,0.7,3,77,65,8,4
0.95,0.8,1,138,108,18,14
0.95,0.8,2,110,44,66,0
0.95,0.8,3,84,67,13,4
0.95,0.9,1,139,108,19,14
0.95,0.9,2,109,44,65,0
0.95,0.9,3,84,67,13,4
0.95,1,1,117,90,14,15
0.95,1,2,138,64,73,1
0.95,1,3,77,65,10,2
