"PCC","Resolution","Community","Size","None","Viral","Bacterial"
0.91,0.1,1,174,110,48,18
0.91,0.1,2,179,114,60,5
0.91,0.2,1,174,110,48,18
0.91,0.2,2,179,114,60,5
0.91,0.3,1,174,110,48,18
0.91,0.3,2,179,114,60,5
0.91,0.4,1,174,110,48,18
0.91,0.4,2,179,114,60,5
0.91,0.5,1,174,110,48,18
0.91,0.5,2,179,114,60,5
0.91,0.6,1,174,110,48,18
0.91,0.6,2,179,114,60,5
0.91,0.7,1,174,110,48,18
0.91,0.7,2,179,114,60,5
0.91,0.8,1,174,110,48,18
0.91,0.8,2,179,114,60,5
0.91,0.9,1,174,110,48,18
0.91,0.9,2,179,114,60,5
0.91,1,1,174,110,48,18
0.91,1,2,179,114,60,5
0.92,0.1,1,173,113,43,18
0.92,0.1,2,180,113,62,6
0.92,0.2,1,173,113,43,18
0.92,0.2,2,180,113,62,6
0.92,0.3,1,173,113,43,18
0.92,0.3,2,180,113,62,6
0.92,0.4,1,173,113,43,18
0.92,0.4,2,180,113,62,6
0.92,0.5,1,173,113,43,18
0.92,0.5,2,180,113,62,6
0.92,0.6,1,173,113,43,18
0.92,0.6,2,180,113,62,6
0.92,0.7,1,173,113,43,18
0.92,0.7,2,180,113,62,6
0.92,0.8,1,173,113,43,18
0.92,0.8,2,180,113,62,6
0.92,0.9,1,173,113,43,18
0.92,0.9,2,180,113,62,6
0.92,1,1,173,113,43,18
0.92,1,2,180,113,62,6
0.93,0.1,1,167,113,36,20
0.93,0.1,2,185,113,69,3
0.93,0.2,1,167,113,36,20
0.93,0.2,2,185,113,69,3
0.93,0.3,1,167,113,36,20
0.93,0.3,2,185,113,69,3
0.93,0.4,1,167,113,36,20
0.93,0.4,2,185,113,69,3
0.93,0.5,1,167,113,36,20
0.93,0.5,2,185,113,69,3
0.93,0.6,1,167,113,36,20
0.93,0.6,2,185,113,69,3
0.93,0.7,1,167,113,36,20
0.93,0.7,2,185,113,69,3
0.93,0.8,1,167,113,36,20
0.93,0.8,2,185,113,69,3
0.93,0.9,1,167,113,36,20
0.93,0.9,2,185,113,69,3
0.93,1,1,167,113,36,20
0.93,1,2,185,113,69,3
0.94,0.1,1,139,101,22,18
0.94,0.1,2,165,108,53,4
0.94,0.1,3,45,16,29,0
0.94,0.2,1,139,101,22,18
0.94,0.2,2,165,108,53,4
0.94,0.2,3,45,16,29,0
0.94,0.3,1,139,101,22,18
0.94,0.3,2,165,108,53,4
0.94,0.3,3,45,16,29,0
0.94,0.4,1,139,101,22,18
0.94,0.4,2,165,108,53,4
0.94,0.4,3,45,16,29,0
0.94,0.5,1,157,107,34,18
0.94,0.5,2,192,118,70,4
0.94,0.6,1,139,101,22,18
0.94,0.6,2,165,108,53,4
0.94,0.6,3,45,16,29,0
0.94,0.7,1,139,101,22,18
0.94,0.7,2,165,108,53,4
0.94,0.7,3,45,16,29,0
0.94,0.8,1,157,107,34,18
0.94,0.8,2,192,118,70,4
0.94,0.9,1,139,101,22,18
0.94,0.9,2,165,108,53,4
0.94,0.9,3,45,16,29,0
0.94,1,1,139,101,22,18
0.94,1,2,165,108,53,4
0.94,1,3,45,16,29,0
0.95,0.1,1,117,90,14,15
0.95,0.1,2,138,64,73,1
0.95,0.1,3,77,65,10,2
0.95,0.2,1,17,10,2,5
0.95,0.2,2,112,90,13,11
0.95,0.2,3,125,61,64,0
0.95,0.2,4,78,58,18,2
0.95,0.3,1,128,99,17,14
0.95,0.3,2,124,54,70,0
0.95,0.3,3,80,66,10,4
0.95,0.4,1,116,89,14,15
0.95,0.4,2,143,67,75,1
0.95,0.4,3,73,63,8,2
0.95,0.5,1,134,103,19,14
0.95,0.5,2,110,44,66,0
0.95,0.5,3,88,72,12,4
0.95,0.6,1,132,102,18,14
0.95,0.6,2,112,45,67,0
0.95,0.6,3,88,72,12,4
0.95,0.7,1,123,95,16,14
0.95,0.7,2,128,57,71,0
0.95,0.7,3,81,67,10,4
0.95,0.8,1,133,102,19,14
0.95,0.8,2,111,45,66,0
0.95,0.8,3,88,72,12,4
0.95,0.9,1,129,100,17,14
0.95,0.9,2,127,56,71,0
0.95,0.9,3,76,63,9,4
0.95,1,1,138,108,18,14
0.95,1,2,110,44,66,0
0.95,1,3,84,67,13,4
